dataStructure, file,Insert,Search
RBT, ./testData/data-512-OrderNone, 0.000197, 6e-05, 362
RBT, ./testData/data-512-OrderAscend, 0.000137, 5.2e-05, 496
RBT, ./testData/data-1024-OrderNone, 0.000389, 0.000124, 718
RBT, ./testData/data-1024-OrderAscend, 0.000306, 0.000114, 1006
RBT, ./testData/data-2048-OrderNone, 0.000666, 0.000212, 1435
RBT, ./testData/data-2048-OrderAscend, 0.000498, 0.000204, 2028
RBT, ./testData/data-4096-OrderNone, 0.001261, 0.000465, 2810
RBT, ./testData/data-4096-OrderAscend, 0.0009, 0.000379, 4074
RBT, ./testData/data-8192-OrderNone, 0.002288, 0.000847, 5658
RBT, ./testData/data-8192-OrderAscend, 0.001446, 0.000633, 8168
RBT, ./testData/data-16384-OrderNone, 0.003956, 0.001368, 11138
RBT, ./testData/data-16384-OrderAscend, 0.002763, 0.001392, 16358
RBT, ./testData/data-32768-OrderNone, 0.006796, 0.002622, 22306
RBT, ./testData/data-32768-OrderAscend, 0.0056, 0.002433, 32740
RBT, ./testData/data-65536-OrderNone, 0.01305, 0.004038, 44443
RBT, ./testData/data-65536-OrderAscend, 0.011049, 0.004191, 65506
SkipList, ./testData/data-512-OrderNone, 0.004411, 9.5e-05, 
SkipList, ./testData/data-512-OrderAscend, 0.004842, 9.9e-05, 
SkipList, ./testData/data-1024-OrderNone, 0.009433, 0.000225, 
SkipList, ./testData/data-1024-OrderAscend, 0.009055, 0.000181, 
SkipList, ./testData/data-2048-OrderNone, 0.019443, 0.000461, 
SkipList, ./testData/data-2048-OrderAscend, 0.020031, 0.000419, 
SkipList, ./testData/data-4096-OrderNone, 0.040916, 0.000997, 
SkipList, ./testData/data-4096-OrderAscend, 0.041007, 0.000888, 
SkipList, ./testData/data-8192-OrderNone, 0.094134, 0.002511, 
SkipList, ./testData/data-8192-OrderAscend, 0.084757, 0.001853, 
SkipList, ./testData/data-16384-OrderNone, 0.200466, 0.0065, 
SkipList, ./testData/data-16384-OrderAscend, 0.185259, 0.004446, 
SkipList, ./testData/data-32768-OrderNone, 0.449256, 0.017013, 
SkipList, ./testData/data-32768-OrderAscend, 0.48799, 0.014361, 
SkipList, ./testData/data-65536-OrderNone, 1.00503, 0.046899, 
SkipList, ./testData/data-65536-OrderAscend, 1.09848, 0.037201, 
AVL ,./testData/data-512-OrderNone, 0.000144, 3.6e-05, 351
AVL ,./testData/data-512-OrderAscend, 0.000119, 2.7e-05, 502
AVL ,./testData/data-1024-OrderNone, 0.00031, 8e-05, 725
AVL ,./testData/data-1024-OrderAscend, 0.000256, 5.8e-05, 1013
AVL ,./testData/data-2048-OrderNone, 0.00073, 0.000176, 1437
AVL ,./testData/data-2048-OrderAscend, 0.000546, 0.000117, 2036
AVL ,./testData/data-4096-OrderNone, 0.001459, 0.000372, 2880
AVL ,./testData/data-4096-OrderAscend, 0.0012, 0.00026, 4083
AVL ,./testData/data-8192-OrderNone, 0.003324, 0.000862, 5929
AVL ,./testData/data-8192-OrderAscend, 0.002492, 0.000546, 8178
AVL ,./testData/data-16384-OrderNone, 0.007233, 0.001948, 11504
AVL ,./testData/data-16384-OrderAscend, 0.005408, 0.00118, 16369
AVL ,./testData/data-32768-OrderNone, 0.015616, 0.004583, 22751
AVL ,./testData/data-32768-OrderAscend, 0.011528, 0.00248, 32752
AVL ,./testData/data-65536-OrderNone, 0.033263, 0.009267, 45715
AVL ,./testData/data-65536-OrderAscend, 0.024442, 0.004838, 65519